,ETF_SP500,ETF_EuroStoxx,ETF_Oblig_IG,SCPI_Corum,CapitalProtect
2022-01-03,0.006760569836134793,-0.004281129881710029,-0.006468747741622192,0.004599994575258002,0.0019403790938950652
2022-01-04,-0.0008591716140542159,-0.004289607860458003,0.0016790286705920293,0.027447224445334147,0.001678205702567175
2022-01-05,0.00857226245720831,-0.003902890717043357,0.003189330490980711,-0.008848794071025564,0.005660848689253151
2022-01-06,0.019076358276896303,0.029674471769851773,0.007040894231127599,0.01296982823907103,-0.0012300373824130403
2022-01-07,-0.002009840496680032,0.0059470963312417465,0.009683244119410243,0.0031175861008282844,-0.00028755771743979456
2022-01-10,-0.0020096434833901666,0.006620583060674975,-0.005890565150967212,0.0106753612386934,0.005108908676217439
2022-01-11,0.019750553786088698,0.01502396835644579,-0.00466514506726203,0.008030457213593967,0.00021339519444842233
2022-01-12,0.010009216749834906,0.003943048226371189,-0.007345467153487698,-0.0013652495768799733,0.004701599231994775
2022-01-13,-0.004833692631219425,-0.0030265900414898437,-0.001204119154641888,0.006331971139674722,0.007098307949026129
2022-01-14,0.007310720523031576,-0.002148897887189696,0.0029981502466780072,-0.010363211611186297,0.000794614919175099
2022-01-17,-0.0047610123137495465,-0.0004024176317968955,0.006124007099534611,0.00932598000457115,0.004044086979725916
2022-01-18,-0.004788757042843082,7.888868886221764e-05,-0.00025570614185513655,0.006885267727924205,-0.0014610768440195755
2022-01-19,0.0037035472587924096,0.010786813610917718,-0.0017190851395290636,0.009609281349144818,0.004264199894203428
2022-01-20,-0.022159362935893576,0.0013272424013021922,0.0011105479534924423,0.012964946600697202,0.0025982719579603014
2022-01-21,-0.019899013990156394,0.010856961081018109,-0.004810857409780139,0.007440958721677687,0.003419114846480646
2022-01-24,-0.0059474503508916724,-0.0005300321215201525,0.012737232330168642,0.0056847153583862095,6.328378389381501e-05
2022-01-25,-0.011353973444013085,0.0017008926644252681,-0.009445966162708352,-0.002548546693290339,-0.0029832502467015175
2022-01-26,0.004570967991143287,-0.027374809583449507,0.001308443473374347,-0.001197766109192408,0.003509756194248514
2022-01-27,-0.01009628890625453,0.013428587445834741,0.012341637315377837,0.013993876961418648,-0.0041902094574383635
2022-01-28,-0.0161476444160235,0.005450838662571898,0.00024079906735998663,0.015990683245647827,0.0010479485232723956
2022-01-31,0.018387785227058646,0.01457214153803513,-0.0009402342100089668,0.002595116509503567,0.004823545599259909
2022-02-01,-0.001909315605838428,-0.03994757529471165,-0.0019446725368625632,0.004868021978026192,0.002575693207619108
2022-02-02,0.001610338456255086,0.029837245866930186,-0.000882350090574447,-0.002736914999950129,0.00784502793436944
2022-02-03,-0.01629697823456148,-0.0013542547941724327,0.008437090848059181,0.013882054762139558,0.00507532745774532
2022-02-04,-0.005732592694302192,0.016114559434325233,-0.01307117146797704,0.00982333458953423,3.8304835023270437e-05
2022-02-07,0.002131071076518393,-0.013958682979757433,0.009400602207777954,0.020029739491709993,0.002081940139554316
2022-02-08,-0.013011922929067634,0.009178834670875975,-0.00834374291470087,-0.0025265846174379117,0.0018578878923666922
2022-02-09,0.005308376220148064,-0.014147817884431186,-0.0013999139754064887,0.001475936807854262,-0.002746530290038382
2022-02-10,-0.00640766427902566,-0.008132765449741272,-0.002375466521791971,0.0063515673802045786,-0.0008211967494530597
2022-02-11,-0.0027003249975193215,0.027396438954135006,0.0037313196186243187,0.009671916301806166,0.0003177172790604192
2022-02-14,-0.0064204793467527626,-0.0020695536106868522,-0.009388746111302484,0.002774658899618941,-0.00410866150856781
2022-02-15,0.023027338214107254,0.0036440602245161203,0.002973035996491657,-0.0024836887236296037,0.002142480404754929
2022-02-16,0.000638033303144793,0.012780948229642559,0.012345857739721116,0.011551260231388569,0.0012527844660408778
2022-02-17,-0.011892531147470804,0.007539546431616465,-0.007979044027556862,0.010269082900364653,-0.0030186817039347226
